MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: B4, Time: 1.25s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 1.75s, Duration: 0.25s, Velocity: 0.39
  Note: F#4, Time: 1.75s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 1.75s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 2.01s, Duration: 0.25s, Velocity: 0.39
  Note: F#4, Time: 2.01s, Duration: 0.25s, Velocity: 0.39
  Note: A4, Time: 2.01s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 3.27s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 3.27s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 3.77s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 3.77s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 4.02s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 4.02s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 5.28s, Duration: 0.25s, Velocity: 0.39
  Note: F#4, Time: 5.79s, Duration: 0.25s, Velocity: 0.39
  Note: F#4, Time: 6.04s, Duration: 0.25s, Velocity: 0.39
  Note: E4, Time: 7.05s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 7.05s, Duration: 0.25s, Velocity: 0.39
  Note: G3, Time: 7.55s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 7.55s, Duration: 0.25s, Velocity: 0.39
  Note: D4, Time: 8.06s, Duration: 0.25s, Velocity: 0.39
  Note: G4, Time: 9.32s, Duration: 0.25s, Velocity: 0.39
  Note: B4, Time: 9.32s, Duration: 0.25s, Velocity: 0.39
  Note: F#4, Time: 9.82s, Duration: 0.25s, Velocity: 0.39
  Note: G6, Time: 14.61s, Duration: 0.06s, Velocity: 0.39
  Note: F#6, Time: 14.67s, Duration: 0.06s, Velocity: 0.39
  Note: E6, Time: 14.74s, Duration: 0.06s, Velocity: 0.39
  Note: D6, Time: 14.80s, Duration: 0.06s, Velocity: 0.39
  Note: C6, Time: 14.86s, Duration: 0.06s, Velocity: 0.39
  Note: B5, Time: 14.93s, Duration: 0.06s, Velocity: 0.39
