MIDI File: FlyMeToTheMoon.mid
Tempo: 128 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 19
Consolidated Instrument Tracks: 7

Instrument: Alto Sax
  (No notes for this instrument)

Instrument: Drum Kit / Percussion
  Note: D#3 (Ride Cymbal 1), Time: 52.37s, Duration: 0.10s, Velocity: 0.55
  Note: D#3 (Ride Cymbal 1), Time: 52.50s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 52.97s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 52.97s, Duration: 0.10s, Velocity: 0.79
  Note: D#3 (Ride Cymbal 1), Time: 52.97s, Duration: 0.10s, Velocity: 0.71
  Note: D2 (Acoustic Snare), Time: 53.31s, Duration: 0.10s, Velocity: 0.31
  Note: D#3 (Ride Cymbal 1), Time: 53.31s, Duration: 0.10s, Velocity: 0.39
  Note: D#3 (Ride Cymbal 1), Time: 53.44s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 53.91s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 53.91s, Duration: 0.10s, Velocity: 0.79
